idx,disease,Symptom,reason,TestsAndProcedures,commonMedications,label
0,Panic disorder,"['Anxiety and nervousness', 'Depression', 'Shortness of breath', 'Depressive or psychotic symptoms', 'Sharp chest pain', 'Dizziness', 'Insomnia', 'Abnormal involuntary movements', 'Chest tightness', 'Palpitations', 'Irregular heartbeat', 'Breathing fast']","Panic disorder is an anxiety disorder characterized by recurring severe panic attacks. It may also include significant behavioral changes lasting at least a month and of ongoing worry about the implications or concern about having other attacks. The latter are called anticipatory attacks (DSM-IVR). Panic disorder is not the same as agoraphobia (fear of public places), although many afflicted with panic disorder also suffer from agoraphobia. Panic attacks cannot be predicted, therefore an individual may become stressed, anxious or worried wondering when the next panic attack will occur. Panic disorder may be differentiated as a medical condition, or chemical imbalance. The DSM-IV-TR describes panic disorder and anxiety differently. Whereas anxiety is preceded by chronic stressors which build to reactions of moderate intensity that can last for days, weeks or months, panic attacks are acute events triggered by a sudden, out-of-the-blue cause: duration is short and symptoms are more intense. Panic attacks can occur in children, as well as adults. Panic in young people may be particularly distressing because children tend to have less insight about what is happening, and parents are also likely to experience distress when attacks occur. ","['Psychotherapy', 'Mental health counseling', 'Electrocardiogram', 'Depression screen (Depression screening)', 'Toxicology screen', 'Psychological and psychiatric evaluation and therapy']","['Lorazepam', 'Alprazolam (Xanax)', 'Clonazepam', 'Paroxetine (Paxil)', 'Venlafaxine (Effexor)', 'Mirtazapine', 'Buspirone (Buspar)', 'Fluvoxamine (Luvox)', 'Imipramine', 'Desvenlafaxine (Pristiq)', 'Clomipramine', 'Acamprosate (Campral)']",disease
1,Vocal cord polyp,"['Hoarse voice', 'Sore throat', 'Difficulty speaking', 'Cough', 'Nasal congestion', 'Throat swelling', 'Diminished hearing', 'Lump in throat', 'Throat feels tight', 'Difficulty in swallowing', 'Skin swelling', 'Retention of urine']"," beclomethasone nasal product, ","['Tracheoscopy and laryngoscopy with biopsy', 'Occupational therapy assessment (Speech therapy)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Physical therapy exercises (Exercises)', 'Diagnostic procedures on nose; mouth and pharynx', 'Other physical therapy and rehabilitation', 'Ophthalmologic and otologic diagnosis and treatment']","['Esomeprazole (Nexium)', 'Beclomethasone Nasal Product', 'Nicotine', 'Azelastine Nasal', 'Phenylephrine (Duramax)', 'Rabeprazole (Aciphex)', 'Vinorelbine (Navelbine)', 'Vitamin A', 'Adalimumab (Humira)', 'Rituximab']",medication
2,Turner syndrome,"['Groin mass', 'Leg pain', 'Hip pain', 'Suprapubic pain', 'Blood in stool', 'Lack of growth', 'Diminished hearing', 'Depression', 'Emotional symptoms', 'Elbow weakness', 'Back weakness', 'Pus in sputum']","Turner syndrome or Ullrich\xe2\x80\x93Turner syndrome (also known as ""Gonadal dysgenesis"":550), 45,X, encompasses several conditions in human females, of which monosomy X (absence of an entire sex chromosome, the Barr body) is most common. It is a chromosomal abnormality in which all or part of one of the sex chromosomes is absent or has other abnormalities (unaffected humans have 46 chromosomes, of which two are sex chromosomes). In some cases, the chromosome is missing in some cells but not others, a condition referred to as mosaicism or ""Turner mosaicism"". ","['Complete physical skin exam performed (ML)', 'Ultrasonography (Ultrasound)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Echocardiography', 'Depression screen (Depression screening)', 'Examination of breast', 'Ophthalmologic and otologic diagnosis and treatment']","['Somatropin', 'Sulfamethoxazole (Bactrim)', 'Pimecrolimus Topical', 'Hyoscyamine (A-Spas)', 'Ortho Cyclen', 'Carbamazepine', 'Ascorbic Acid', 'Nystatin Topical Product', 'Phenazopyridine (Azo)', 'Nifedipine']",disease
3,Cryptorchidism,"['Symptoms of the scrotum and testes', 'Swelling of scrotum', 'Pain in testicles', 'Flatulence', 'Pus draining from ear', 'Jaundice', 'Mass in scrotum', 'Lack of growth', 'White discharge from eye', 'Irritable infant']","Cryptorchidism (derived from the Greek \xce\xba\xcf\x81\xcf\x85\xcf\x80\xcf\x84\xcf\x8c\xcf\x82, kryptos, meaning hidden and \xe1\xbd\x84\xcf\x81\xcf\x87\xce\xb9\xcf\x82, orchis, meaning testicle) is the absence of one or both testes from the scrotum. It is the most common birth defect regarding male genitalia. In unique cases, cryptorchidism can develop later in life, often as late as young adulthood. About 3% of full-term and 30% of premature infant boys are born with at least one undescended testis. However, about 80% of cryptorchid testes descend by the first year of life (the majority within three months), making the true incidence of cryptorchidism around 1% overall. Cryptorchidism is distinct from monorchism the condition of having only one testicle. ","['Complete physical skin exam performed (ML)', 'Ultrasonography (Ultrasound)', 'Pelvis exam', 'Rectal examination', 'Other OR therapeutic procedures; male genital', 'Other OR therapeutic nervous system procedures', 'Occupational therapy assessment (Speech therapy)']","['Haemophilus B Conjugate Vaccine (Obsolete)', 'Hepatitis B Vaccine (Obsolete)', 'Rotavirus Vaccines (Rotavirus Vaccine)', 'Desoximetasone Topical']",disease
4,Poisoning due to ethylene glycol,"['Abusing alcohol', 'Fainting', 'Hostile behavior', 'Drug abuse', 'Depressive or psychotic symptoms', 'Sharp abdominal pain', 'Feeling ill', 'Vomiting', 'Headache', 'Depression', 'Nausea', 'Diarrhea']"," thiamine, ","['Intravenous fluid replacement', 'Hematologic tests (Blood test)', 'Toxicology screen', 'Complete blood count (Cbc)', 'Electrocardiogram', 'Glucose measurement (Glucose level)', 'Blood alcohol']","['Lorazepam', 'Thiamine', 'Naloxone (Suboxone)', 'Charcoal', 'Folic Acid', 'Famotidine', 'Haloperidol', 'Acetylcysteine', 'Trimethobenzamide (Tigan)', 'Magnesium Sulfate', 'Olanzapine (Zyprexa)']",medication
5,Atrophic vaginitis,"['Vaginal itching', 'Vaginal dryness', 'Painful urination', 'Involuntary urination', 'Pain during intercourse', 'Frequent urination', 'Lower abdominal pain', 'Suprapubic pain', 'Vaginal discharge', 'Blood in urine', 'Hot flashes', 'Intermenstrual bleeding']","Atrophic vaginitis (also known as vaginal atrophy or urogenital atrophy) is an inflammation of the vagina (and the outer urinary tract) due to the thinning and shrinking of the tissues, as well as decreased lubrication. This is all due to a lack of the reproductive hormone estrogen. ","['Pelvis exam', 'Examination of breast', 'Urinalysis', 'Mammography (Mammogram)', 'Rectal examination', 'Complete physical skin exam performed (ML)', 'Pap smear']","['Estrogens, Conjugated (Usp) (Premarin)', 'Estradiol', 'Nitrofurantoin', 'Raloxifene (Evista)', 'Oxybutynin', 'Tolterodine (Detrol)', 'Progesterone', 'Solifenacin (Vesicare)', 'Risedronate (Actonel)', 'Calcium Citrate', 'Betamethasone-Clotrimazole Topical']",disease
6,Fracture of the hand,"['Hand or finger pain', 'Wrist pain', 'Hand or finger swelling', 'Arm pain', 'Wrist swelling', 'Arm stiffness or tightness', 'Arm swelling', 'Hand or finger stiffness or tightness', 'Wrist stiffness or tightness']"," disopyramide, ","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Application of splint (Splinting)', 'Orthopedic casting', 'Traction; splints; and other wound care', 'Physical therapy exercises (Exercises)', 'Other non-OR therapeutic procedures on musculoskeletal system']","['Carteolol', 'Disopyramide']",medicine
7,Cellulitis or abscess of mouth,"['Lip swelling', 'Sore throat', 'Toothache', 'Abnormal appearing skin', 'Skin lesion', 'Difficulty in swallowing', 'Acne or pimples', 'Dry lips', 'Facial pain', 'Mouth ulcer', 'Throat swelling', 'Skin growth']"," dexamethasone topical product, ","['Complete physical skin exam performed (ML)', 'Excision (Removal)', 'Incision and drainage (I d)', 'Biopsy', 'Wound care management', 'Culture wound', 'Other OR therapeutic procedures on nose; mouth and pharynx']","['Clindamycin', 'Dexamethasone Topical Product', 'Penicillin', 'Rivastigmine (Exelon)', 'Chlorhexidine Topical', 'Petrolatum Topical', 'Docosanol Topical', 'Sertaconazole Topical', 'Oxaprozin', 'Hydrocortisone-Iodoquinol Topical', 'Retapamulin Topical']",medication
8,Eye alignment disorder,"['Eye deviation', 'Diminished vision', 'Double vision', 'Cross-eyed', 'Symptoms of eye', 'Pain in eye', 'Eye moves abnormally', 'Abnormal movement of eyelid', 'Foreign body sensation in eye', 'Lack of growth', 'Irregular appearing scalp', 'Swollen lymph nodes']","When you look at an object, you\xe2\x80\x99re using several muscles to move both eyes to focus on it. If you have a problem with the muscles, the eyes don\xe2\x80\x99t work properly. There are many kinds of eye movement disorders. Two common ones are: Strabismus \xe2\x80\x93 a disorder in which the two eyes don\xe2\x80\x99t line up in the same direction. This results in \xe2\x80\x9ccrossed eyes\xe2\x80\x9d or \xe2\x80\x9cwalleye.\xe2\x80\x9d Nystagmus \xe2\x80\x93 fast, uncontrollable movements of the eyes, sometimes called \xe2\x80\x9cdancing eyes\xe2\x80\x9d Some eye movement disorders are present at birth. Others develop over time and may be associated with other problems, such as injuries. Treatments include glasses, eye muscle exercises, and surgery. There is no treatment for some kinds of eye movement disorders, such as most kinds of nystagmus. ","['Ophthalmologic and otologic diagnosis and treatment', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Other therapeutic procedures on eyelids; conjunctiva; cornea', 'Other therapeutic procedures', 'Ophthalmic examination and evaluation (Eye exam)', 'Other extraocular muscle and orbit therapeutic procedures', 'Occupational therapy assessment (Speech therapy)']","['Atropine (Uaa)', 'Phenylephrine (Duramax)', 'Cyclopentolate Ophthalmic', 'Tropicamide Ophthalmic', 'Dexamethasone-Tobramycin Ophthalmic', 'Methazolamide (Mzm)', 'Fluorescein', 'Orlistat (Alli)', 'Colloidal Oatmeal Topical', 'Benzylpenicilloyl Polylysine (Pre-Pen)']",disease
9,Headache after lumbar puncture,"['Headache', 'Nausea', 'Back pain', 'Vomiting', 'Dizziness', 'Neck pain', 'Low back pain', 'Pain of the anus', 'Pain during pregnancy', 'Painful urination', 'Pelvic pain', 'Impotence']"," caffeine, ","['Intravenous fluid replacement', 'Complete blood count (Cbc)', 'Hematologic tests (Blood test)', 'Electrolytes panel', 'Glucose measurement (Glucose level)', 'Kidney function tests (Kidney function test)', 'Liver function tests (Liver test)']","['Hydromorphone (Dilaudid)', 'Caffeine', 'Prochlorperazine (Compro)', 'Midazolam (Versed)', 'Caffeine-Sodium Benzoate', 'Zidovudine', 'Zolmitriptan (Zomig)', 'Dexamethasone-Tobramycin Ophthalmic']",medication
